"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_3178","glcB","Malate synthase G","3","123","160","14","1.8404907975460123","10.218978102189782","0.002134146341463415","1.6740635349186686e-63","2.9818419683971325e-59","2.710765425815575e-60"
"group_5248","","ISL3 family transposase ISEc53","153","13","10","124","93.86503067484662","90.51094890510949","145.93846153846152","9.35270467049982e-56","1.6659037559094278e-51","1.2814644276226368e-52"
"group_8478","","hypothetical protein","153","13","10","124","93.86503067484662","90.51094890510949","145.93846153846152","9.35270467049982e-56","1.6659037559094278e-51","1.2814644276226368e-52"
"group_6392","kpsM","Polysialic acid transport protein KpsM","0","99","163","38","0.0","27.73722627737226","0.0","4.9641997715259084e-48","8.842232633041948e-44","6.31588045217282e-45"
"group_795","","hypothetical protein","120","0","43","137","73.61963190184049","100.0","inf","2.2631833647419976e-47","4.0311822092784465e-43","2.687454806185631e-44"
"group_1995","mtlK_2","hypothetical protein","7","110","156","27","4.294478527607362","19.708029197080293","0.011013986013986014","2.4504087423620047e-46","4.364668051895203e-42","2.7279175324345017e-43"
"ybhI_2","","Inner membrane protein YbhI","39","135","124","2","23.92638036809816","1.4598540145985401","0.004659498207885305","5.9886548760390364e-46","1.0666992065200731e-41","6.2747012148239595e-43"
"tagD","","Glycerol-3-phosphate cytidylyltransferase","0","95","163","42","0.0","30.656934306569344","0.0","3.169005118250822e-45","5.644631916628364e-41","2.970858903488613e-42"
"group_6867","kpsT","Polysialic acid transport ATP-binding protein KpsT","0","95","163","42","0.0","30.656934306569344","0.0","3.169005118250822e-45","5.644631916628364e-41","2.970858903488613e-42"
"dctD_1","","C4-dicarboxylate transport transcriptional regulatory protein DctD","38","133","125","4","23.31288343558282","2.9197080291970803","0.009142857142857144","6.152344995405122e-44","1.0958556905815602e-39","5.218360431340764e-41"
"group_2717","ybhI_2","Inner membrane protein YbhI","125","4","38","133","76.68711656441718","97.08029197080292","109.375","6.152344995405123e-44","1.0958556905815605e-39","5.218360431340764e-41"
